 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;"199/210;214;617;620;622";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"200/020;025;030;035;
045;024-T;028-T
048-T;040-b;025-
b;050-y;025-y;040-d";TOKA;"20 mm / 25 mm / 30 mm / 35 mm / 45 mm /
24T mm / 28T mm / 48T mm / 40B mm / 
25B mm / 50Y mm / 25Y mm / 40D mm ";32 Boy / 38 Boy / 40 Boy / 45 Boy / 48 Boy / 56 Boy / 64 Boy / 72 Boy / 77 Boy / 80 Boy ;?;?;;;;;;
;"201/010;015;020;035";TOKA;10 mm / 15 mm / 20 mm / 35 mm ;16 Boy / 24 Boy / 32 Boy / 56 Boy ;?;?;;;;;;
;"202/060;829;830";TOKA;60 mm ;96;?;?;;;;;;
;"202/060;829;830";SALLANTI;29 mm / 30 mm ;46 Boy / 48 Boy ;?;?;;;;;;
;203/034;TOKA;34 mm ;54;?;?;;;;;;
;"204/027;";TOKA;27 mm;43;?;?;;;;;;
;205/030;TOKA;30 mm ;48;?;?;;;;;;
;206/030;TOKA;30 mm;48;?;?;;;;;;
YOK;207;RİVET;;YOK;?;?;;;;;;
;208/ 014;TOKA;14 mm;22;?;?;;;;;;
;209/020;TOKA;20 mm ;32;?;?;;;;;;
;210/014;TOKA;14 mm ;22;?;?;;;;;;
;211/035;TOKA;35 mm ;56;?;?;;;;;;
;"212/025;025-M";TOKA;25 mm / 25M mm ;40;?;?;;;;;;
;213/035;TOKA;35 mm ;53;?;?;;;;;;
;214/037;TOKA;37 mm ;59;?;?;;;;;;
;"215/060;036;215;620;215";TOKA;60 mm / 36 mm ;96 Boy / 58 Boy ;?;?;;;;;;
;"215/060;036;215;620;215";RİVET;15 mm ;24;?;?;;;;;;
;"215/060;036;215;620;215";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"216/ 079 ; 035";TOKA;35 mm / 79 mm ;56 Boy / 126 Boy ;?;?;;;;;;
;"217/030;040";TOKA;30 mm / 40 mm ;48 Boy / 64 Boy ;?;?;;;;;;
;"218/020-K; 218-30X20 /
218-30X20/41;020;025;
030;040;050;060";TOKA;"20K mm / 30x20 mm / 20 mm / 25 mm / 
30 mm / 40 mm / 50 mm / 60 mm";32 Boy / 40 Boy / 48 Boy / 64 Boy / 80 Boy / 96 Boy ;?;?;;;;;;
YOK;219/ ;?;?;YOK;?;?;;;;;;
;"220/210;212;220;
618;620;624;
";RİVET;10 mm / 12 mm / 20 mm ;16 Boy / 19 Boy / 32 Boy ;?;?;;;;;;
;"220/210;212;220;
618;620;624;
";ÇAKMA DÜĞME;18 mm / 20 mm / 24 mm ;29 Boy / 32 Boy / 38 Boy ;?;?;;;;;;
;"221/212;215;617;625;017";RİVET;12 mm / 15 mm ;19 Boy / 24 Boy ;?;?;;;;;;
;"221/212;215;617;625;017";ÇAKMA DÜĞME;17 mm / 25 mm ;27 Boy / 40 Boy ;?;?;;;;;;
;"221/212;215;617;625;017";ALTTAN DİKME DÜĞME;17 mm ;27;?;?;;;;;;
;"222/017;023;028;025";ALTTAN DİKME DÜĞME;17 mm / 23 mm / 25 mm / 28 mm ;27 Boy / 37 Boy / 40 Boy / 45 Boy ;?;16/12;;;;;;
;"223/212;214
;617;620;622;712";RİVET;12 mm / 14 mm ;19 Boy / 22 Boy ;?;?;;;;;;
;"223/212;214
;617;620;622;712";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"223/212;214
;617;620;622;712";ÇIT ÇIT;12 mm ;19;?;?;;;;;;
;"224/212;214
;617;620;622;210;";RİVET;10 mm / 12 mm / 14 mm ;16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
;"224/212;214
;617;620;622;210;";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"225/212;214;617;620;622";RİVET;12 mm / 14 mm ;19 Boy / 22 Boy ;?;?;;;;;;
;"225/212;214;617;620;622";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"226/010;012;210;212;217
;617;620;622;712;812;";ALTTAN DİKME DÜĞME;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;"226/010;012;210;212;217
;617;620;622;712;812;";RİVET;10 mm / 12 mm / 17 mm ;16 Boy / 19 Boy / 27 Boy ;?;?;;;;;;
;"226/010;012;210;212;217
;617;620;622;712;812;";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"226/010;012;210;212;217
;617;620;622;712;812;";ÇIT ÇIT;12 mm;19 Boy  ;?;?;;;;;;
;"226/010;012;210;212;217
;617;620;622;712;812;";SALLANTI;12 mm ;19 Boy  ;?;?;;;;;;
;227/021;ALTTAN DİKME DÜĞME;21 mm ;34;?;?;;;;;;
;"228/210;212;615;617;
620;624;717 ;";RİVET;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;"228/210;212;615;617;
620;624;717 ;";ÇAKMA DÜĞME;15 mm / 17 mm / 20 mm / 24 mm ;24 Boy / 27 Boy / 32 Boy / 38 Boy ;?;?;;;;;;
;"228/210;212;615;617;
620;624;717 ;";ÇIT ÇIT;17 mm ;27;?;?;;;;;;
;"229/012;620;622";ALTTAN DİKME DÜĞME;12 mm ;19;?;?;;;;;;
;"229/012;620;622";ÇAKMA DÜĞME;20 mm / 22 mm ;32 Boy / 35 Boy ;?;?;;;;;;
;230/210;RİVET;10 mm ;16;?;?;;;;;;
