 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;1425024;TOKA;24mm;;3,2+0,8  =4;8  / pul ayrı kalıpta BOY;;;;;;
;1426004;BAĞ UCU;4mm;;0.6;BELİRTİLMEMİŞ;;;;;;
;1427911;ÜSTTEN DİKME DÜĞME;12 mm;19;0.8;40;;;;;;
;1428048;HALKA;48 mm;77;19.1;6;;;;;;
;1428050;HALKA;50 mm;80;19.1;2;;;;;;
;1429023;PLAKA;23 mm;37;1.9;24;;;;;;
;1430030;D TOKA;30 mm;48;2.5;24;;;;;;
;1431020;TOKA;20 mm;32;4.7;8;;;;;;
;1432020;PAPAĞAN;20mm;;15.8;BELİRTİLMEMİŞ;;;;;;
;1433;PAPAĞAN;ÜRÜN YOK ;;15.9;ÜRÜN YOK ;;;;;;
;1434030;TOKA;30 mm;48;14.4;NUMUNE KALIBI ;;;;;;
;1435015;ALTTAN DİKME DÜĞME;15 mm;24;4.3;?;;;;;;
;1436060;YAKALIK;60mm;;4.6;;;;;;;
;143703.5;ALTTAN DİKME DÜĞME;35mm;;2.8;16;;;;;;
;1438014;YAKALIK;140mm;;15;4;;;;;;
;1439020;TOKA;20mm;;7.8;8;;;;;;
;1440010;ALTTAN DİKME DÜĞME;10 mm;16;1.3;40;;;;;;
;1441008;TOKA;08 mm;13;0.4;32;;;;;;
;1442;TOKA;25mm;;20.7;2;;;;;;
;1443;TOKA;25mm;;12.9;6;;;;;;
;1444;TOKA;40mm;;10.6;6;;;;;;
;1445025;ÇIT ÇIT;25 mm;40;3,7    5,6;4;;;;;;
;1446014;ÜSTTEN DİKME DÜĞME;14 mm;22;1.1;BELİRTİLMEMİŞ;;;;;;
;1447030;TOKA;30 mm;48;?;?;;;;;;
;1448040;ELCİK;40mm;64;12.3;BELİRTİLMEMİŞ;;;;;;
;1449021;ELCİK;21 mm;34;2.2;8;;;;;;
;1450012;ELCİK;12 mm;19;1.3;BELİRTİLMEMİŞ;;;;;;
YOK;1451050;ELCİK;50 mm;80;8.1;6;;;;;;
YOK;1452035;HALKA;35 mm;56;6.2;BELİRTİLMEMİŞ;;;;;;
;1453070;TOKA;70 mm;112;12.8;BELİRTİLMEMİŞ;;;;;;
;1454020;TOKA;20 mm;32;6.4;8;;;;;;
;1455050;D TOKA;50mm;8;6.9;8;;;;;;
;1455045;D TOKA;45 mm;64;6.1; 8;;;;;;
;1456030;HALKA;30mm;;1.1;12;;;;;;
YOK;1456013;HALKA;13 mm;21;1.1;32;;;;;;
;1457020;TOKA;20 mm;32;21;2;;;;;;
;1458020;TOKA;20 mm;32;13.3;6;;;;;;
;1459016;TOKA;16 mm;26;10.9;6;;;;;;
?;1460;?;ÜRÜN YOK ;ÜRÜN YOK ;?;?;;;;;;
?;1461;?;ÜRÜN YOK ;;?;?;;;;;;
?;1462;?;ÜRÜN YOK ;;?;?;;;;;;
?;1463;?;ÜRÜN YOK ;;?;?;;;;;;
?;1464;?;ÜRÜN YOK ;;?;?;;;;;;
;1465035;HALKA;35 mm;56;5.4;10;;;;;;
;1465050;HALKA;50mm;;ÜRÜN YOK ;8;;;;;;
;1465040;HALKA;40 mm;64;6.4;10;;;;;;
;1465070;HALKA;70 mm;112;12.5;BELİRTİLMEMİŞ;;;;;;
;1466013;SALLANTI;13 mm;21;1.2;32;;;;;;
;1467010;RİVET;10mm;;1.4;BELİRTİLMEMİŞ;;;;;;
;1468015;TOKA;15 mm;24;4.4;BELİRTİLMEMİŞ;;;;;;
;1469015;TOKA;15 mm;24;2.5;BELİRTİLMEMİŞ;;;;;;
;1470720;ÇIT ÇIT;20 mm;32;5.4;BELİRTİLMEMİŞ;;;;;;
;1471025;TOKA;25 mm;40;7.8;8;;;;;;
;1472015;ALTTAN DİKME DÜĞME;15mm;24;?;?;;;;;;
;1472018;ALTTAN DİKME DÜĞME;18 mm;29;3.4;24;;;;;;
ÜRÜN YOK ;1473035 41;?;35 mm / 41 mm;56     66 ;?;?;;;;;;
;1474815;BAĞ UCU;15 mm;24;1.9;24;;;;;;
YOK;1475818;BAĞ UCU;18 mm;29;2,5+1,3=3,8;10+20;;;;;;
;1476015;ÇIT ÇIT;15mm;24;1.8;34;;;;;;
;1476013;ÇIT ÇIT;13mm;21;1.8;34;;;;;;
;1476017;ÇIT ÇIT;17 mm;27;2.4;16;;;;;;
YOK;1477025;HALKA;25 mm;40;4;6;;;;;;
;1478016;TOKA;16 mm;26;11.6;12;;;;;;
;"1479013
(Kesik)";TOKA;13 mm;21;0.7;48;;;;;;
;1480012;?;12 mm;19;2.8;?;;;;;;
;1481025;D TOKA;25mm;40;2.8;?;;;;;;
;1481030;D TOKA;30mm;48;?;?;;;;;;
;1481035;D TOKA;35mm;56;3.7;?;;;;;;
;1481040;D TOKA;40mm;64;6;?;;;;;;
;1481045;D TOKA;45mm;72;?;?;;;;;;
;1481055;D TOKA;55mm;88;9.8;?;;;;;;
;1481060;D TOKA;60mm;96;10.6;?;;;;;;
;14810065;TOKA;65mm;104;?;?;;;;;;
;14820100;TOKA;100mm;160;55.3;?;;;;;;
;1482080;TOKA;80mm;128;36.6;?;;;;;;
;1482060;TOKA;60mm;96;?;?;;;;;;
;1482050;TOKA;50mm;80;?;?;;;;;;
;1482040;TOKA;40mm;64;9.4;?;;;;;;
;1482030;TOKA; 30 mm;48;"
5,6";?;;;;;;
;1483918;ÜSTTEN DİKME DÜĞME;18 mm;29;1.6;16;;;;;;
;1484046;PLAKA;46mm;;24.8;?;;;;;;
YOK;"1485025
(1477025 ile aynı ürün)";TOKA;25 mm;40;3.8;12;;;;;;
;1486025;TOKA;25 mm;40;5.8;16;;;;;;
YOK;1487090;TOKA;80 mm;144;9.1;8;;;;;;
YOK;1488040;TOKA;40 mm;64;4.4;20;;;;;;
YOK;1489;SALLANTI;?;;2,2    3,5    5,1   9,5;?;;;;;;
;1490;PLAKA;?;;4.5;8;;;;;;
;1491;PLAKA;?;;3.6;8;;;;;;
;149204.5;PLAKA;4,5CM;;3.5;6;;;;;;
?;1493;?;?;;?;?;;;;;;
;1494020;PAPAĞAN;20 mm;32;4;?;;;;;;
YOK;1495011;ALTTAN DİKME DÜĞME;11 mm;18;1.7;32;;;;;;
?;1496;?;?;;?;?;;;;;;
;1497025;TOKA;25 mm;40;6.7;8;;;;;;
;1498012.5;ÜSTTEN DİKME DÜĞME;13 mm;21;0.4;?;;;;;;
?;1499025;?;25 mm;40;?;?;;;;;;
;1500;TOKA;?;;9;?;;;;;;
;1501;PAPAĞAN;?;;4.9;?;;;;;;
?;1502;?;?;;?;?;;;;;;
;1503;?;?;;58.3;?;;;;;;
;1504080;TOKA;80 mm;128;24.5;2;;;;;;
;1505921;ÜSTTEN DİKME DÜĞME;21mm;34;3.1;40;;;;;;
;1505917;ÜSTTEN DİKME DÜĞME;17 mm ;27;"
1,9 ";"
48";;;;;;
;1506070;HALKA;70 mm;112;13.2;2;;;;;;
?;1507040;HALKA;40 mm;64;15.278;8;;;;;;
;1508025;YILDIZ RİVET;25mm;;4.3;12;;;;;;
;1509020;TOKA;20mm;;8,4    15 ;8;;;;;;
;1510015;KESİK HALKA;15 mm;24;0.8;40;;;;;;
ÜRÜN YOK ;1511010;?;10 mm;16;?;?;;;;;;
YOK;1512011;ALTTAN DİKME DÜĞME;11 mm;18;0.8;40;;;;;;
;1513045;HALKA;45 mm;72;8.9;8;;;;;;
ÜRÜN YOK ;1514025;?;25mm;;?;?;;;;;;
;1515010;AYAR;8mm;;0.5;BELİRTİLMEMİŞ;;;;;;
;1516 / y / ç / ç2;SALLANTI;YILDIZ 22mm DUMEN 20mm ÇAPA 20mm;;1,3    1,8    2,7;BELİRTİLMEMİŞ;;;;;;
ÜRÜN YOK ;1517020;?;?;;?;?;;;;;;
ÜRÜN YOK ;1518030;?;30mm;;?;?;;;;;;
;1519;KÜÇÜK PİERCİNG;?;;?;BELİRTİLMEMİŞ;;;;;;
;1520;BÜYÜK PİERCİNG;50 mm;;8.516.;8 göz;;;;;;
;1521;PİERCİNG;ÜRÜN YOK ;;?;?;;;;;;
;1522024;TOKA;24 mm;38;12.5;;;;;;;
ÜRÜN YOK ;1523025;?;25 mm;40;?;?;;;;;;
ÜRÜN YOK ;15230036;?;25 mm;40;?;?;;;;;;
;1524034;ALTTAN DİKME DÜĞME;34 mm;54;2.8;BELİRTİLMEMİŞ;;;;;;
;1525039;TOKA;39 mm;62;12.8;8;;;;;;
;1526008;PİRSİNG;08 mm;13;0.5;BELİRTİLMEMİŞ;;;;;;
YOK;1527020;TOKA;20 mm;32;9;4;;;;;;
ÜRÜN YOK ;1528024;?;?;;?;?;;;;;;
;1529010;ALTTAN DİKME DÜĞME;10 mm;16;0.7;36;;;;;;
?;1530007;TOKA;07 mm;11;0.7;60;;;;;;
;1531070;HALKA;70 mm;112;13;2;;;;;;
;1532025;TOKA;25 mm;40;12.6;8;;;;;;
;1533012;TOKA;12 mm;19;1.8;BELİRTİLMEMİŞ;;;;;;
;1534006;ALTTAN DİKME DÜĞME;6 mm;10;0.1;BELİRTİLMEMİŞ;;;;;;
ÜRÜN YOK ;1535020;?;?;;?;?;;;;;;
;1536039;PİERCİNG;39mm;;6.6;BELİRTİLMEMİŞ;;;;;;
;1537210;RİVET;10 mm;16;1.5;52;;;;;;
;1538210;RİVET;10 mm;16;1.2;2,;;;;;;
;1539025;TOKA;25 mm;40;2.2;20;;;;;;
;1540020;TOKA;20 mm;32;4.1;12     24;;;;;;
;1541;TOKA;ÜRÜN YOK ;ÜRÜN YOK ;ÜRÜN YOK?;?;;;;;;
;1542026;TOKA;26mm;;6.6;6;;;;;;
?;1543;?;ÜRÜN YOK ;;?;?;;;;;;
?;1544;?;ÜRÜN YOK ;;?;?;;;;;;
;1545045;TOKA;45 mm;72;11.2;8;;;;;;
;1546030;PİERCİNG TOKA;30 mm;48;6.4;6;;;;;;
ÜRÜN YOK ;1547010;?;10 mm;16;?;?;;;;;;
;1548046;PİERCİNG;46mm;;3.4;8;;;;;;
;1549012;ALTTAN DİKME DÜĞME;12mm;20;1.2;BELİRTİLMEMİŞ;;;;;;
;1550010/013;TOKA;10 mm / 13 mm;16     21 ;1,4      2,6;36;;;;;;
YOK;1551027;TOKA;27 mm;43;9.8;4;;;;;;
;1552016;ALTTAN DİKME DÜĞME;16 mm;26;1.6;32;;;;;;
;1552030;ALTTAN DİKME DÜĞME;16mm;26;1.6;32;;;;;;
;15533030;TOKA;30 mm;48;29.7;2;;;;;;
;1554022;PLAKA;22 mm;35;1.5;40;;;;;;
ÜRÜN YOK ;1555;?;?;;?;?;;;;;;
;155607.81;ÇİVİ;7,81mm;;0.04;56;;9;;;;
;1557012;ALTTAN DİKME DÜĞME;12mm;;0.3;40;;;;;;
;155801.7;TOP DÜĞME;11mm;18;4.17;32;;;;;;
;1558008;TOP DÜĞME;8mm;14;1.4;48;;;;;;
;1559036;TOKA;36 mm;58;2.3;32;;9;;;;
;1560720;ÇIT ÇIT;20 mm;32;2.8;12;;;;;;
;156109;YAN AKSESUAR;90mm;14;4.2;8;;;;;;
;1562010;ALTTAN DİKME DÜĞME;10 mm;16;1GR;36;;;;;;
;1563022;ALTTAN DİKME DÜĞME;22 mm;35;6.5;22;;;;;;
;1564724;ÇIT ÇIT;24 mm;38;7.2;24;;9;;;;
;1565040;TOKA;40 mm;64;6.4;24;;9;;;;
;1566;KÜÇÜK ÇİVİ;?;;?;160;;;;;;
;1567049;TOKA;49 mm;78;4.6;16;;;;;;
;1569010;TOKA;10 mm;16;2.7;32;;;;;;
;1570020;SALLANTI;20mm;;2.1;BELİRTİLMEMİŞ;;9;;;;
;1571016.55;SALLANTI;16,55mm;;5.6;BELİRTİLMEMİŞ;;9;;;;
;1572023;SALLANTI;23mm;;1;20;;;;;;
;1573031;TOKA;31 mm;50;15.2;?;;9;;;;
;1574920;ÜSTTEN DİKME DÜĞME;20 mm;32;3.2;12;;;;;;
;1575920;ÜSTTEN DİKME DÜĞME;20 mm;32;2.9;12;;9;;;;
;1576060;HALKA;60 mm;96;13;6;;;;;;
;1577040;TOKA;40 mm;64;11.8;4;;;;;;
;1578207;RİVET;07 mm;11;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
;1579914;ÜSTTEN DİKME DÜĞME;14 mm;22;1.5;32;;;;;;
;1580627;ÇAKMA DÜĞME;27 mm;43;7;10 iken 6 basıyorGÖZ;;;;;;
;1580728;ÇAKMA DÜĞME;27 mm;43;4.9;6;;;;;;
;1581017;KESİK HALKA;17 mm;27;0.9;40;;;;;;
;1582050;HALKA;50 mm;80;4;8;;;;;;
;1583207;RİVET;07 mm;11;0.7;56;;;;;;
;1584006;ALTTAN DİKME DÜĞME;06 mm;10;0.4;60;;;;;;
;1585023/19/17/15;ALTTAN DİKME DÜĞME;23 mm;37;5;20/20/20GÖZ;;;;;;
;1586018;ALTTAN DİKME DÜĞME;18 mm;29;1;40GÖZ;;;;;;
;1587012;ALTTAN DİKME DÜĞME;12 mm;19;1;40;;;;;;
;1588007;ALTTAN DİKME DÜĞME;07 mm;11;0.5;BELİRTİLMEMİŞ;;;;;;
;1589910;ÜSTTEN DİKME DÜĞME;10 mm;16;1;40;;;;;;
;1590015;ALTTAN DİKME DÜĞME;15mm;24;1.55;24;;;;;;
;1590020;ALTTAN DİKME DÜĞME;20mm;32 boy;2,44.;40;;;;;;
;1590020/22/15;ALTTAN DİKME DÜĞME;20 mm;32;3.9;24;;;;;;
;1591020;ÇIT ÇIT;20 mm;32;5.3;10;;;;;;
;1592030;PLAKA;30 mm;48;2.6;20;;;;;;
?;1592030-P;PLAKA;28 mm;45;1;16;;;;;;
;1593925;ÜSTTEN DİKME DÜĞME;25 mm;40;6.3;10;;;;;;
;15940022.5;ALTTAN DİKME DÜĞME;22,5mm;36;2.72;24;;;;;;
;1595015;ALTTAN DİKME DÜĞME;15mm;24;1.27;32;;;;;;
;1594020;ALTTAN DİKME DÜĞME;20 mm;32;4.2;26;;;;;;
;1595018;ALTTAN DİKME DÜĞME;18mm;29;3;20;;;;;;
;1595016.5;ALTTAN DİKME DÜĞME;16,5mm;26;2.5;24;;;;;;
;1595020;ALTTAN DİKME DÜĞME;20mm;32;3;20;;;;;;
;1595012.5;ALTTAN DİKME DÜĞME;12,5mm;20;1.3;32;;;;;;
;1595023;ALTTAN DİKME DÜĞME;23mm;37;3;21;;;;;;
;1595025;ALTTAN DİKME DÜĞME;25mm;40;3.2;16;;;;;;
;1595015;ALTTAN DİKME DÜĞME;15 mm;24;1.6;24;;;;;;
;ABS007;?;?;;?;?;;;;;;
;1596019;ALTTAN DİKME DÜĞME;19 mm;30;1.6;28;;;;;;
;1597014;ÜSTTEN DİKME DÜĞME;14 mm ;22;1;72;;;;;;
;1598026;PLAKA;26 mm;42;2;10;;;;;;
;1599008;ALTTAN DİKME DÜĞME;08 mm;13;0.5;44;;;;;;
;1600049;ALTTAN DİKME DÜĞME;49mm;;9,2977.;6;;;;;;
;1601035;PLAKA;35 mm;56;6,4+5,2=11,6;8+8;;;;;;
;1602030;PLAKA;30 mm;48;4,9+4,3=5,2;10+10;;;;;;
;1603060;D TOKA;60mm;96;12;6;;;;;;
;1603050;D TOKA;50mm;80;8.4;8;;;;;;
;1603040;D TOKA;40mm;64BOY;4.9;10;;;;;;
;16030/35;D TOKA; 35 mm;56;3.7;BELİRTİLMEMİŞ;;;;;;
;1604923;ÜSTTEN DİKME DÜĞME;23mm;37;3.2;8;;;;;;
;16049013;ÜSTTEN DİKME DÜĞME;13 mm ;37;?;?;;;;;;
;1605070;D TOKA;70mm;112;11.5;12 ;;;;;;
;1605065;D TOKA;65mm;104;11.3;;;;;;;
;1605060;D TOKA;60mm;96;10.6;;;;;;;
;1605055;D TOKA;55mm;88;9.8;;;;;;;
;1605050;D TOKA;50mm;80;7.3;;;;;;;
;1605045;D TOKA;45mm;72;6.4;;;;;;;
;1605040;D TOKA;40mm;64;6.2;;;;;;;
;1605035;D TOKA;35mm;56;3.8;;;;;;;
;1605030;D TOKA;30mm;48;3.3;;;;;;;
;1605025;D TOKA;25mm;40;2.9;;;;;;;
;1605020;TOKA; 20 mm;32;2.5;;;;;;;
;1603912;İKİ DELİKLİ DİKME DÜĞME;12mm;20;0.5;36;;;;;;
;1606915;İKİ DELİKLİ DİKME DÜĞME;15mm;24;1;8;;;;;;
;1606923;İKİ DELİKLİ DİKME DÜĞME;23mm;37;3.2;8;;;;;;
;1606925;İKİ DELİKLİ DİKME DÜĞME;25mm;40;3.2;8;;;;;;
;1606927;İKİ DELİKLİ DİKME DÜĞME;27mm;43;4.6;8;;;;;;
;1606934;İKİ DELİKLİ DİKME DÜĞME;34mm;54;7.4;4;;;;;;
;;;;;;;;;;;;
;1607015;ALTTAN DİKME DÜĞME;15mm;24;1.4;?;;;;;;
;1607017;ALTTAN DİKME DÜĞME;17mm;28;2.06;12;;;;;;
;1607020;ALTTAN DİKME DÜĞME;20mm;32;2.86;12;;;;;;
;1607023;ALTTAN DİKME DÜĞME;23mm;36;3.76;12;;;;;;
;1607025;ALTTAN DİKME DÜĞME;25mm;40;5.2;10;;;;;;
;1608017;ALTTAN DİKME DÜĞME;17mm;28;2.1;20;;;;;;
;1608025;ALTTAN DİKME DÜĞME;25mm;40;?;10;;;;;;
;1608012;ALTTAN DİKME DÜĞME;12mm;20;?;32;;;;;;
;1608010;ALTTAN DİKME DÜĞME;10mm;16;?;40;;;;;;
;1608015;ALTTAN DİKME DÜĞME;15mm;24;1,28.;32;;;;;;
;1608023;ALTTAN DİKME DÜĞME;23mm;37;3.8;12;;;;;;
;1608030;ALTTAN DİKME DÜĞME;30mm;48;6.7;4;;;;;;
;1608036;ALTTAN DİKME DÜĞME;36 mm;58;13.5;4;;;;;;
;1609020;ALTTAN DİKME DÜĞME;20 mm;32;?;?;;;;;;
;1610022;ALTTAN DİKME DÜĞME;22 mm;35;?;?;;;;;;
;1611045;ALTTAN DİKME DÜĞME;45 mm;72;?;?;;;;;;
;16127028;ÇIT ÇIT;28mm;45;5.3;;;;;;;
;16127016;ÇIT ÇIT; 16 mm;25;2.1;?;;;;;;
;1612726;ÇIT ÇIT;16,4 mm;26;1.8;30;;;;;;
;1613617;ÇAKMA DÜĞME;17 mm;27;3.2;16;;;;;;
?;1614617;?;17 mm;27;?;?;;;;;;
;APR285-5;KUŞGÖZÜ;?;;?;?;;;;;;
;16158010;BAĞ UCU;10mm;21;1.6;32;;;;;;
;16158013;BAĞ UCU;13 mm;16;?  ; ?;;;;;;
;1616820;BAĞ UCU;20 mm;32;2.92.;16;;;;;;
;16170100;YAKALIK;100mm;;8.4;8;;;;;;
;1618923;ÜSTTEN DİKME DÜĞME;23 mm;37;2.8;8;;;;;;
;1619015;TOKA;15 mm;24;1.2;48;;;;;;
;1620023;İKİ DELİKLİ DİKME DÜĞME;23 mm;37;0.01;FAAL;;;;;;
;1621080;TOKA;80 mm;128;24;2;;;;;;
;1622090;TOKA;90 mm;144;57.7;2;;;;;;
;1623025.5;AKSESUAR;25,50mm;;5,1+0,4;BELİRTİLMEMİŞ;;;;;;
;162405.5;TOKA;6 mm;10;15.7;BELİRTİLMEMİŞ;;;;;;
;1625020;BAĞ UCU;20 mm;32;3.5;BELİRTİLMEMİŞ;;;;;;
;APR286035;KISTIRMA;35 mm;56;?;?;;;;;;
;1626015;ALTTAN DİKME DÜĞME;15 mm ;24;?;?;;;;;;
;1626716.5;ALTTAN DİKME DÜĞME;17 mm;27;1.9;30;;;;;;
;APR287020/023;?;20 mm / 23 mm;32       37 ;?;?;;;;;;
;1627053;TOKA;53 mm;85;15;2;;;;;;
;1628020/016,2;ALTTAN DİKME DÜĞME;20 mm;32;4.2;12    16;;;;;;
;1629050;TOKA;50 mm;80;11.5;6;;;;;;
;163009.7;TOKA;9,7mm;;8,8+0,8 =9,6;2+2 Aynı kalıptalar;;;;;;
;1631024;TOKA;24 mm;38;11.6;12;;;;;;
;1632039;TOKA;39 mm;62;10.4;6;;;;;;
;1633040;TOKA;40 mm;64;15.6;4;;;;;;
;1634;PAPAĞAN;?;;4.9;8;;;;;;
;1635015/25;TOKA;15 mm / 25 mm;24     40;4,4 / 6,5;6+6 // 5+5 ;;;;;;
;1636049;TOKA;49mm;;16,6+4,7GR;3+3 aynı kalıptalar;;;;;;
;1637070;TOKA;70mm;;12;2;;;;;;
;1638025.4;TOKA;25,40mm;;13.5;2;;;;;;
;1639015;TOKA;15,16mm;;11.1;4;;;;;;
;1640011;TOKA;11mm;;4;12;;;;;;
?;16500020;ALTTAN DİKME DÜĞME;20 mm;32;4.72;20;;;;;;
;1641010.5;?;11 mm;18;1.4;8;;;;;;
;100012;ALTTAN DİKME DÜĞME;12 mm;19;?;?;;;;;;
;1642015;ALTTAN DİKME DÜĞME;15 mm;24;1.6;16;;;;;;
;1643014;TOKA;14mm;22;4.2;;;;;;;
;1643015;TOKA;15mm;24;6;;;;;;;
;1643020;TOKA; 20 mm;32;12.4;2 şerli göz aynı kalıptalar;;;;;;
;1644811;BAĞ UCU;11 mm;18;2.4;12;;;;;;
;1645011.3;ALTTAN DİKME DÜĞME;12 mm;19;1.4;32;;;;;;
;1646909;ÜSTTEN DİKME DÜĞME;09 mm;14;0.4;50;;;;;;
;1647025-A;TOKA;25 mm;40;9.7;2;;;;;;
;1647021-B;TOKA;21 mm;34;4.2;6;;;;;;
;1647022-C;TOKA;22 mm;35;2;6;;;;;;
;1648026;ALTTAN DİKME DÜĞME;26mm;42;5.6;10;;;;;;
;1648020;ALTTAN DİKME DÜĞME;20mm;32;2.7;12;;;;;;
;1648022;ALTTAN DİKME DÜĞME;22mm;36;4.2;12;;;;;;
;1648017;ALTTAN DİKME DÜĞME;17mm;28;1.9;12;;;;;;
;1648014;ALTTAN DİKME DÜĞME;14mm;22;1.1;32;;;;;;
;APR288417;ÇIT ÇIT;17 mm;27;?;?;;;;;;
;1649022;ALTTAN DİKME DÜĞME;22 mm;35;3.5;19;;;;;;
;"1651
Göz+Dil+Halka";PAPAĞAN;?;;4,49+1,46+2,25=8,2gr;8 / 16 /12 GÖZ;;;;;;
;"1652050
Maçalı / Maçasız";TOKA;50 mm;;11,55 / 14,40GR;2;;;;;;
;1653048;ALTTAN DİKME DÜĞME;48 mm;;15.3;2;;;;;;
;1654017;ALTTAN DİKME DÜĞME;17mm;28;1.7;20;;;;;;
;1654022;ALTTAN DİKME DÜĞME;22 mm;34;3;12;;;;;;
;1655012;SALLANTI;12 mm;;0.4;16;;;;;;
;1656019;ALTTAN DİKME DÜĞME;19mm;30;2.4;20;;;;;;
;"1656015
";ALTTAN DİKME DÜĞME;15 mm;24;1.6;24;;;;;;
;1657023;ALTTAN DİKME DÜĞME;23 mm;37;4.7;12;;;;;;
;1658909;ÜSTTEN DİKME DÜĞME;09 mm;14;0.5;50;;;;;;
;1659048;TOKA;48 mm;77;20.3;2;;;;;;
;1660918;ÜSTTEN DİKME DÜĞME;18 mm;29;2.2;12;;;;;;
;APR291006;;06mm;10;;;;;;;;
;APR291007;;07 mm;11;?;?;;;;;;
;1661015;TOKA;15 mm;24;2,8+24=5,2GR;16+16 (Ayrı Kalıptalar);;;;;;
;1662010;ALTTAN DİKME DÜĞME;10 mm;16;0.6;42;;;;;;
;1663011.5;ALTTAN DİKME DÜĞME;12 mm;19;1.2;42;;;;;;
;1664014;TOKA;14 mm;22;7;8;;;;;;
;1665030;TOKA;30 mm;48;8;4;;;;;;
;1666;TOKA;?;;1.5;"Maçalı 48 
Maçasız 24 GÖZ";;;;;;
;1667010;TOKA;10 mm;16;0.3;42;;;;;;
;1668014;TOKA;14 mm;22;1.5;16;;;;;;
;1669025;ALTTAN DİKME DÜĞME;25mm;40;3.7;E;;;;;;
;1669021;ALTTAN DİKME DÜĞME;21mm;34;2.4;E;;;;;;
;1669017;ALTTAN DİKME DÜĞME;17mm;28;1.7;20;;;;;;
;1669015;ALTTAN DİKME DÜĞME;15mm;24;1.3;24;;;;;;
;1669012;ALTTAN DİKME DÜĞME;12 mm;20;0.8;24;;;;;;
;1670015;TOKA;15 mm;24;2.8;8;;;;;;
;ABS008040/050;TOKA;40 mm / 50 mm;64 Boy / 80 Boy ;?;?;;;;;;
;1671010;ALTTAN DİKME DÜĞME;10 mm;16;0.8;40;;;;;;
;1672015;ALTTAN DİKME DÜĞME;15mm;24;2;24;;;;;;
;1672017;ALTTAN DİKME DÜĞME;17mm;27;2.7;20;;;;;;
;1672022;ALTTAN DİKME DÜĞME; 22 mm;35;5.6;20 ;;;;;;160
;1673013;ALTTAN DİKME DÜĞME;13 mm;21;1.1;24;;;;;;
;1674022;ALTTAN DİKME DÜĞME;22 mm;35;4;20;;;;;;
;1675015;ALTTAN DİKME DÜĞME;15mm;24;1.55;32;;;;;;
;1675017;ALTTAN DİKME DÜĞME;17 mm;27;3.1;12;;;;;;
;1676010;BAĞ UCU;10 mm;16;1;24;;;;;;
;1677015;ALTTAN DİKME DÜĞME;15mm;24;1.8;16;;;;;;
;1677017;ALTTAN DİKME DÜĞME;17mm;28;2.9;12 ;;;;;;
;1677020;ALTTAN DİKME DÜĞME;20mm;32;3.5;12;;;;;;
?;1677022;ALTTAN DİKME DÜĞME;22mm;32;4.8;10;;;;;;
;1678015;ALTTAN DİKME DÜĞME;15 mm;24;1,599.;32;;;;;;
;1679015/12;ALTTAN DİKME DÜĞME;15 mm;24;2;12;;;;;;
;1680018;ALTTAN DİKME DÜĞME;18mm;28;1.6;16;;;;;;
;1680015;ALTTAN DİKME DÜĞME;15mm;24;1,9GR İNCİLİ;E;;;;;;
;1681018;ALTTAN DİKME DÜĞME;18mm;29;2.9;8;;;;;;
;1681024-H;ALTTAN DİKME DÜĞME; 24 mm;38;3,23.;10;;;;;;
;1682015;ALTTAN DİKME DÜĞME;15 mm;24;1.2;16;;;;;;
;1683011;AYAR;11 mm;18;1.8;8;;;;;;
;1684019;ALTTAN DİKME DÜĞME;19 mm;30;5;20;;;;;;
;1685014;ALTTAN DİKME DÜĞME;"14 mm
";22;1.6;24;;;;;;
;1686023;ALTTAN DİKME DÜĞME;23 mm;37;4.1;12;;;;;;
;1687015;ALTTAN DİKME DÜĞME;15mm;24;1.8;16;;;;;;
;1687017;ALTTAN DİKME DÜĞME;17mm;28;2.1;16;;;;;;
;1687020;ALTTAN DİKME DÜĞME;20mm;32;3.4;12;;;;;;
;1687023;ALTTAN DİKME DÜĞME;23mm;36;4.5;12;;;;;;
;1687025;ALTTAN DİKME DÜĞME;25mm;40;7.2;8;;;;;;
;1688023;ALTTAN DİKME DÜĞME;23mm;36;3.46;16;;;;;;
;1688026;ALTTAN DİKME DÜĞME;26 mm;42;6.4;8;;;;;;
;1689010;AYAR;10 mm;16;0.7;34;;;;;;
;1690013;AYAR;"13 mm
";21;0.23;28;;;;;;
;1691013;AYAR;13 mm;21;1;16;;;;;;
;1692006;HALKA;06 mm;10;0.12;42;;;;;;
;1693010;AYAR;10 mm;16;0.4;30;;;;;;
;1694018;AYAR;18 mm;29;0.8;12;;;;;;
;1695020;HALKA;20 mm;32;1.5;10;;;;;;
;1696010;ÜSTTEN DİKME DÜĞME;10 mm ;16;0.636;48;;;;;;
;1696012;ÜSTTEN DİKME DÜĞME;12 mm;20;0.8;40;;;;;;
;1697024;SALLANTI;24 mm;38;3;10;;;;;;
;1698024;SALLANTI;24 mm;38;3.1;10;;;;;;
;1699026;SALLANTI;26 mm;42;2.9;16;;;;;;
